timestamp,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,temperature
2026-05-14T12:15:14,-7.26,12.75,353.75,-0.087,-0.054,0.922,-0.98,27.1,96.45,27.09,-0.91,7.78,33.2
2026-05-14T12:15:14,-5.6,9.96,356.35,-0.005,-0.001,0.938,-0.61,28.35,96.32,27,2.6,6.06,33.2
2026-05-14T12:15:14,-3.5,6.46,0.31,0.093,0.052,0.948,2.17,18.28,77.06,26.72,5.85,4.01,33.2
2026-05-14T12:15:14,-1.28,2.67,4.81,0.175,0.079,0.978,5.82,8.35,38.65,26.42,8.61,2.26,33.2
2026-05-14T12:15:14,0.53,-1.05,9.3,0.217,0.074,0.988,5.6,-7.9,-17.13,26.74,10.3,1.87,33.2
2026-05-14T12:15:14,1.4,-3.62,12.78,0.197,0.055,0.985,-6.81,-5.23,-59.25,27.48,10.56,2.32,33.2
2026-05-14T12:15:15,1.23,-4.7,14.37,0.127,-0.007,0.967,-7.54,-23.15,-98.35,28.33,9.29,2.94,33.2
2026-05-14T12:15:15,-1.03,-2.8,12.98,-0.05,-0.104,0.884,-6.99,-38.38,-111.38,28.57,6.65,3.93,33.2
2026-05-14T12:15:15,-3.63,1.39,9.16,-0.195,-0.13,0.882,0.4,-24.28,-85.88,27.21,2.94,5.48,33.2
2026-05-14T12:15:15,-5.89,5.96,4.52,-0.298,-0.172,0.875,1.32,-11.84,-52.07,26.13,-0.03,6.76,33.2
2026-05-14T12:15:15,-7.98,10.12,0.06,-0.342,-0.193,0.859,4.35,-0.27,-4.16,25.49,-2.24,7.77,33.2
2026-05-14T12:15:15,-9.26,12.91,356.59,-0.317,-0.172,0.869,9.46,7.65,42.43,25.49,-3.43,8.56,33.2
2026-05-14T12:15:15,-9.7,14.24,355.09,-0.262,-0.148,0.899,17.75,15.53,80.87,26.12,-1.95,8.75,33.2
2026-05-14T12:15:15,-9.27,13.72,355.88,-0.173,-0.112,0.926,10.88,28.17,101.68,26.46,0.67,8.39,33.2
2026-05-14T12:15:15,-8.21,11.65,358.79,-0.054,-0.055,0.952,4.07,27.68,116.38,26.56,3.72,7.47,33.2
2026-05-14T12:15:16,-6.08,8.66,2.78,0.061,0.064,0.955,7.7,18.5,100.31,26.48,6.97,5.97,33.2
2026-05-14T12:15:16,-3.99,5.89,7.48,0.084,0.073,0.992,8.61,18.08,66.08,26.35,9.75,4.5,33.2
2026-05-14T12:15:16,-2.04,2.96,12.1,0.143,0.094,1.007,4.66,-0.06,21.12,26.16,12.13,3.1,33.2
2026-05-14T12:15:16,-0.88,0.46,16.43,0.135,0.061,0.981,-4.9,-2.89,-26.46,26.16,13.43,3.35,33.2
2026-05-14T12:15:16,-0.38,-1.3,19.37,0.129,0.041,0.988,-16.34,19.05,-76.28,26.89,13.33,3.86,33.2
2026-05-14T12:15:16,-1.08,-1.34,19.18,0.001,-0.039,0.933,1.91,-29.19,-104.59,27.47,9.8,4.52,33.2
2026-05-14T12:15:16,-3.35,1.63,15.84,-0.155,-0.106,0.901,14.86,-24.33,-92.77,26.82,6.2,5.83,33.2
2026-05-14T12:15:16,-5.69,5.37,11.51,-0.276,-0.172,0.911,13.62,-13.74,-60.78,26.08,3.25,7.07,33.2
2026-05-14T12:15:16,-8.14,9.15,7.19,-0.332,-0.201,0.892,4.94,4.63,-7.84,25.58,0.99,8.06,33.2
2026-05-14T12:15:16,-9.83,11.77,3.87,-0.304,-0.19,0.888,0.57,17.43,47.1,26.24,0.62,8.44,33.2
2026-05-14T12:15:17,-9.81,12.04,2.56,-0.236,-0.125,0.882,12.37,9.72,84.88,26.98,1.73,8.36,33.2
2026-05-14T12:15:17,-8.99,11.08,3.55,-0.161,-0.096,0.932,9.76,14.31,98.07,27.02,4.08,8.06,33.2
2026-05-14T12:15:17,-7.27,9.28,6.32,-0.097,-0.032,0.932,7.32,6.59,91.06,26.58,7.13,6.87,33.2
2026-05-14T12:15:17,-5.01,6.91,9.97,0.041,0.09,0.965,0.71,15.75,79.78,26.25,9.84,5.76,33.2
2026-05-14T12:15:17,-2.54,4.24,13.82,0.069,0.131,0.979,3.36,9.79,46.36,26.09,12.04,4.83,33.2
2026-05-14T12:15:17,-0.53,2.16,17.65,0.075,0.135,0.977,4.98,1.69,20.15,25.85,13.99,4.04,33.2
2026-05-14T12:15:17,1.07,0.12,21.18,0.118,0.149,1.011,-9.52,21.56,4.19,25.85,15.32,3.64,33.2
2026-05-14T12:15:17,2.3,-1.22,23.99,0.099,0.139,0.991,-4.77,12.96,-17.61,26.18,16,3.6,33.2
2026-05-14T12:15:17,3.31,-1.83,25.72,0.075,0.125,0.988,-2.07,16.33,-43.61,26.79,16,3.85,33.2
2026-05-14T12:15:17,3.92,-1.49,26.21,0.008,0.11,0.999,-0.48,6.8,-54.18,27.74,15.24,4.04,33.2
2026-05-14T12:15:18,4.21,0.42,25.44,-0.098,0.09,0.991,0.55,3.17,-49.32,28.64,13.41,4.55,33.2
2026-05-14T12:15:18,4.38,3.14,23.85,-0.16,0.093,0.986,2.42,3.45,-22.61,29.36,11.77,5.09,33.2
2026-05-14T12:15:18,4.45,5.6,22.06,-0.18,0.08,0.989,2.53,8.69,8.12,29.91,10.79,5.52,33.2
2026-05-14T12:15:18,4.41,7.19,20.71,-0.149,0.063,0.991,2.94,10.57,30.28,30.31,10.57,5.75,33.2
2026-05-14T12:15:18,4.35,7.55,20.43,-0.078,0.074,1,4.5,14.21,50.09,30.1,11.69,5.66,33.2
2026-05-14T12:15:18,4.39,6.67,21.28,-0.024,0.076,1.011,6.74,4.24,51.59,29.64,13.26,5.12,33.2
2026-05-14T12:15:18,4.31,4.87,23.14,0.019,0.076,0.995,3.49,6.67,58.25,29.05,14.86,4.04,33.2
2026-05-14T12:15:18,4.67,3.01,24.92,0.034,0.07,1.014,7.19,7.59,20.94,28.93,15.93,3.11,33.2
2026-05-14T12:15:18,4.78,1.79,26.34,0.029,0.084,1.012,7.55,2.86,15.82,29.19,16.3,2.31,33.2
2026-05-14T12:15:19,5.05,1.16,27.21,0.05,0.152,1.02,6.24,2.34,14.99,29.46,16.52,1.66,33.2
2026-05-14T12:15:19,6.17,0.17,27.63,0.082,0.172,1.009,2.69,-5.98,-23.02,29.66,16.55,1.4,33.2
2026-05-14T12:15:19,7.68,-0.59,27.63,0.07,0.221,1.009,-12.42,-4.69,-59.8,29.88,16.23,1.04,33.2
2026-05-14T12:15:19,8.9,-0.99,27.04,0.059,0.212,1.03,-13.43,-2.47,-98.12,30.33,15.14,1.04,33.2
2026-05-14T12:15:19,8.77,-1.13,25.21,0.047,0.138,1.022,-25.02,-9.52,-118.71,30.91,12.79,1.41,33.2
2026-05-14T12:15:19,6.49,-0.78,21.62,-0.002,-0.032,0.989,-9.72,-11.24,-105.53,30.7,8.52,2.09,33.2
2026-05-14T12:15:19,2.85,0.1,17.14,-0.021,-0.121,0.981,-0.7,0.92,-46.25,30.6,5.14,2.64,33.2
2026-05-14T12:15:19,0.83,0.44,12.84,-0.011,-0.08,0.983,9.9,1.15,-0.22,30.99,3.41,2.84,33.2
2026-05-14T12:15:19,0.65,0.54,9.8,-0.016,0.014,1.006,16.12,-1.04,17.23,31.41,2.96,2.48,33.2
2026-05-14T12:15:19,2.31,0.56,7.89,-0.02,0.089,1.035,18.74,-2.31,10.8,31.77,2.36,1.66,33.2
2026-05-14T12:15:20,4.28,0.71,6.57,-0.015,0.11,1.029,8.83,-4.77,-25.1,32.03,2,1.05,33.2
2026-05-14T12:15:20,5.16,0.77,5.36,-0.018,0.087,1.026,4.3,-5.59,-47.83,32.13,1.45,1,33.2
